Album,Release Date,Total Streams,Daily
Made In The A.M,13-11-2015,4568115570,1554561
FOUR,17-11-2014,4253046572,2473349
Midnight Memories,25-11-2013,4139251940,2191671
Take Me Home,09-11-2012,3191522303,1068956
Up All Night,18-11-2011,2547962786,1133440
